country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ireland,686,739,797,852,965,1020,1070,1150,1120,1290,1490,1710,2080,2430,2520,2980,2920,3430,4410,5440,6380,5990,6170,5920,5700,6020,8120,9590,10700,11200,14000,14100,15700,14700,15900,19200,20900,22500,24300,26300,26200,28200,32500,41100,47600,50900,54300,61400,61300,52100,48700,51800,48900,51600,55500,62000,63200,69800,78600,78700
Israel,1230,1440,1090,1260,1380,1430,1510,1470,1650,1850,2380,2190,2800,3470,4860,4460,4310,4830,4580,5700,6250,6490,6930,7600,7040,6520,7960,9410,11300,11100,12700,13700,14800,14500,16000,18100,19300,19700,19400,19100,21000,20300,18400,19000,19900,20600,21800,24900,29600,27700,30700,33700,32500,36300,37700,35800,37300,40500,41700,43600
Italy,804,887,990,1130,1220,1300,1400,1530,1650,1810,2110,2310,2670,3210,3620,4110,4030,4600,5610,6990,8460,7620,7560,7830,7740,7990,11300,14200,15700,16400,20800,22000,23200,18700,19300,20700,23100,21800,22300,22000,20100,20500,22300,27500,31300,32000,33500,37800,40800,37100,36000,38600,35100,35500,35500,30200,30900,32400,34600,33200
Jamaica,429,453,464,485,519,553,616,637,594,644,749,809,969,969,1190,1410,1440,1560,1260,1140,1240,1360,1470,1590,1030,899,1170,1380,1600,1830,1900,1670,1430,2180,2160,2580,2880,3240,3360,3360,3380,3440,3610,3480,3730,4100,4330,4620,4930,4340,4700,5110,5210,4990,4830,4910,4840,5070,5350,5580
Japan,479,564,634,718,836,920,1060,1230,1450,1670,2040,2270,2970,4000,4350,4660,5200,6340,8820,9110,9470,10400,9580,10400,11000,11600,17100,20700,25100,24800,25400,28900,31500,35800,39300,43400,38400,35000,31900,36000,38500,33800,32300,34800,37700,37200,35400,35300,39300,40900,44500,48200,48600,40500,38100,34500,38800,38400,39200,40200
Jordan,,,,,,511,519,458,374,432,372,375,419,484,596,660,805,962,1160,1420,1640,1780,1830,1840,1780,1720,2120,2160,1930,1240,1170,1160,1340,1330,1410,1470,1460,1490,1600,1620,1650,1720,1800,1880,2040,2180,2510,2740,3460,3560,3740,3850,3910,4040,4130,4160,4180,4230,4310,4410
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1510,1520,1430,1320,1290,1350,1450,1470,1130,1230,1490,1660,2070,2870,3770,5290,6770,8510,7170,9070,11600,12400,13900,12800,10500,7710,9250,9810,9810
Kenya,97.4,94.7,100,104,108,105,118,121,128,134,142,152,173,199,227,240,246,307,349,395,443,402,363,324,323,309,351,373,377,361,361,332,324,220,265,326,421,446,466,415,397,395,390,430,452,512,686,826,902,905,952,972,1140,1210,1320,1340,1410,1570,1710,1820
Kiribati,,,,,,,,,,,279,294,359,592,1580,999,735,683,785,729,653,688,666,613,657,502,490,500,622,580,550,645,638,620,715,725,843,842,801,832,797,735,827,1020,1130,1210,1170,1370,1430,1310,1520,1740,1790,1720,1640,1540,1580,1640,1700,1660
Kuwait,,,,,,4440,4570,4230,4210,4020,3860,4860,5220,5970,13500,11800,12100,12300,12700,19100,20900,17400,14300,13200,13100,12400,9770,11500,10200,11600,8790,5420,,,,16900,19400,17700,14200,15400,18400,16600,17800,22100,27000,35600,42800,45800,55500,37600,38600,48600,52000,49400,44100,29900,27700,29800,34000,32000
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,576,513,449,372,364,395,376,345,258,280,308,322,381,433,477,543,722,966,871,880,1120,1180,1280,1280,1120,1120,1240,1310,1310
Lao,,,,,,,,,,,,,,,,,,,,,,,,,490,642,468,278,149,173,203,235,251,287,326,364,378,346,249,278,325,327,320,363,418,476,591,710,900,949,1140,1380,1580,1830,2000,2130,2310,2420,2540,2530
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,2430,2680,2970,3150,3360,3570,4130,5140,6360,7580,9700,14100,16400,12300,11400,13900,13900,15100,15700,13800,14300,15700,17900,17800
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,997,1010,1610,1900,2450,2820,3320,3790,4310,4670,4640,4490,4420,4580,4580,4630,4580,4630,5210,6110,7350,7760,7670,7950,7930,7690,7640,7630,7800,8020,7580
Lesotho,41.3,41.9,48.2,53.1,57.5,59.5,60.2,61.6,62.5,65.6,66.8,72.7,75.1,110,133,129,124,157,211,223,322,315,246,266,224,176,204,252,288,297,350,404,466,459,472,528,489,507,465,452,436,406,382,574,753,843,905,864,885,891,1140,1310,1250,1190,1220,1150,1040,1150,1220,1120
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,307,306,243,286,295,336,397,478,471,513,597,658,722,721,710,715,699,677,622
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510,7040,7280,6450,5890,5160,5540,6000,5240,6820,7140,6270,3700,4670,5800,8160,9340,11300,14400,10300,12100,5550,13000,10400,6470,4340,4040,5760,7880,7690
Liechtenstein,,,,,,,,,,,4240,4830,5640,7350,8440,10500,11400,12400,17500,19800,20700,19500,19700,19600,18600,19400,28300,37800,41300,39400,49400,50900,55200,55800,64000,78600,79900,72200,76700,81300,74900,74300,79400,89900,100000,105000,114000,131000,143000,126000,141000,158000,149000,173000,179000,167000,166000,173000,181000,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,2330,2830,3170,3110,3290,3530,4140,5500,6700,7850,9230,12300,14900,11800,12000,14400,14400,15700,16600,14300,15000,16900,19200,19600
Luxembourg,2240,2220,2310,2440,2760,2780,2900,2910,3180,3660,4450,4590,5680,7710,9280,9010,9830,10900,13500,15700,17100,14300,13000,12800,12600,12900,18800,23200,26100,27600,34600,37000,41000,41500,45500,52800,52600,47000,47600,51700,48700,48200,52900,65400,75700,80300,89700,106000,114000,103000,105000,116000,107000,114000,119000,101000,104000,108000,117000,115000
Madagascar,132,134,138,138,143,144,152,157,165,165,169,177,193,231,261,302,281,295,324,409,597,531,518,493,399,378,420,302,291,282,339,273,302,321,270,285,355,297,297,280,294,334,319,369,284,320,339,439,536,468,472,531,518,541,531,467,476,515,528,523
Malawi,44.5,46.6,47.7,48.5,48.3,55.5,61.4,62,54.9,58,61.8,75.7,81.9,87.2,105,114,121,141,161,174,198,193,180,182,173,156,154,145,160,175,200,230,186,213,121,142,228,259,166,164,156,150,298,267,283,290,308,332,388,438,479,535,392,348,371,381,316,357,381,412
Malaysia,235,226,230,280,289,310,321,317,323,347,358,384,445,661,800,765,886,1030,1250,1580,1770,1770,1850,2050,2230,2000,1730,1950,2070,2220,2440,2650,3110,3430,3730,4330,4800,4640,3260,3490,4040,3910,4170,4460,4950,5590,6210,7240,8470,7290,9040,10400,10800,11000,11300,9960,9820,10300,11400,11400
Maldives,,,,,,,,,,,,,,,,,,,,,268,273,282,328,599,671,723,696,804,875,964,1060,1210,1330,1430,1570,1740,1930,2010,2150,2230,3040,3050,3480,3940,3640,4810,5570,6610,6640,7080,7290,7270,7930,8500,9030,9210,9580,10300,10600
Mali,,,,,,,,48.3,59.5,58,60.5,71.2,79.2,90.1,84.6,128,142,156,179,229,248,213,181,172,160,178,233,259,265,263,317,315,320,310,223,282,283,267,282,323,270,307,335,393,440,489,523,597,694,699,710,838,779,805,848,751,781,830,895,879
Malta,,,,,,,,,,,828,874,976,1140,1250,1560,1730,2040,2560,3200,3950,3900,3790,3530,3330,3320,4190,5080,5810,6040,7190,7560,8220,7300,8000,9860,10100,9910,10400,10600,10400,10400,11300,13700,15200,15900,16700,19500,22200,21100,21800,23200,22500,24800,26800,24900,25600,28100,30400,29800
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,973,1050,1200,1230,1140,1390,1490,1600,1590,1660,1700,1850,2000,2150,2380,2190,2190,2230,2270,2270,2390,2520,2460,2460,2570,2610,2750,2730,2700,2880,3080,3220,3300,3230,3210,3470,3670,3790,
Mauritania,,182,182,181,235,259,262,270,288,265,270,284,322,393,475,529,566,566,554,636,680,697,679,693,621,567,649,715,733,732,741,1020,1010,840,862,904,899,851,814,775,677,646,640,718,804,971,1290,1350,1560,1390,1610,1880,1820,1890,1680,1520,1540,1580,1600,1680
Mauritius,,,,,,,,,,,,,,,,,777,894,1090,1280,1170,1170,1090,1090,1030,1050,1420,1820,2050,2080,2510,2670,2970,2970,3200,3600,3900,3650,3590,3700,3930,3860,4020,4790,5390,5280,5700,6570,8030,7320,8000,9200,9290,9640,10200,9260,9680,10500,11200,11100
Mexico,345,363,378,409,469,495,534,566,606,650,690,739,826,981,1240,1480,1450,1300,1590,2030,3030,3800,2600,2150,2480,2570,1730,1860,2250,2690,3110,3660,4170,5650,5850,3930,4410,5290,5480,6160,7160,7540,7590,7080,7480,8280,9070,9640,10000,8000,9270,10200,10200,10700,10900,9620,8740,9290,9690,9950
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,1320,,,1280,1300,1360,1440,1530,1680,1760,1910,1910,2060,2020,1900,2020,2040,2170,2250,2270,2300,2250,2360,2410,2460,2540,2720,2890,3010,3130,2990,2970,2910,3010,3290,3570,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,575,657,579,400,441,508,571,683,897,1030,1180,1530,2110,1900,2440,2940,3050,3320,3330,2730,2880,3510,4230,4500
Monaco,,,,,,,,,,,12500,13800,16700,21400,22700,28300,28800,31400,38400,45800,51500,44400,41400,38900,36400,37600,52200,63100,68400,68600,84300,83700,91600,85400,89400,102000,101000,90800,93000,91300,82400,83700,90500,109000,124000,124000,134000,170000,186000,155000,151000,169000,158000,178000,189000,166000,170000,168000,186000,
Mongolia,,,,,,,,,,,,,,,,,,,,,,1330,1440,1500,1120,1140,1470,1490,1530,1670,1170,1070,587,340,406,632,581,506,477,445,474,524,572,646,798,999,1330,1630,2140,1710,2640,3760,4350,4370,4160,3920,3660,3670,4130,4340
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1910,2110,2790,3380,3670,4430,5980,7370,6730,6690,7330,6590,7190,7380,6510,7030,7780,8850,8910
Morocco,165,159,181,197,201,206,196,203,213,232,246,265,303,365,439,503,524,590,690,810,1080,862,836,750,668,661,840,921,1070,1070,1210,1270,1300,1200,1330,1430,1560,1400,1470,1450,1330,1340,1420,1730,1950,2020,2200,2500,2890,2870,2840,3050,2910,3120,3170,2880,2900,3040,3220,3200
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,187,186,183,184,242,284,313,347,319,296,303,326,383,417,435,482,564,520,472,595,658,664,674,590,429,461,503,504
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,137,142,217,218,245,294,407,638,734,979,1180,1170,1160,1250,1290,1270,1290,1420,1410
Namibia,,,,,,,,,,,,,,,,,,,,,2290,2080,1910,2030,1680,1340,1460,1780,1860,1830,1940,2030,2260,2070,2280,2420,2370,2420,2210,2170,2140,1910,1770,2560,3400,3660,3980,4350,4160,4240,5320,5720,5940,5380,5440,4870,4520,5300,5500,4960
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4750,6570,9430,9100,8830,6960,7670,8510,9760,9400
Nepal,50.3,51.8,55,46.9,46,67,81.2,74,66.5,66.6,71.7,71.6,81.4,75.6,92.8,117,106,98.5,112,126,130,148,152,152,157,155,165,168,193,191,192,202,171,179,193,204,205,218,211,214,229,247,245,252,286,316,347,391,470,478,592,699,698,716,743,793,777,911,1040,1070
Netherlands,1070,1160,1240,1330,1540,1710,1840,1990,2190,2640,2930,3380,4100,5350,6440,7340,7930,9170,11200,12800,13800,11500,11100,10700,9980,9930,13800,16700,17700,17400,21300,21700,23900,23100,24600,29300,29000,26700,27900,28300,26100,26900,29200,35700,40400,42000,44900,51700,57600,52500,51000,54200,50100,52200,52800,45200,46000,48700,53000,52300
New Zealand,2310,2340,2450,2620,2810,2150,2190,2190,1890,2080,2360,2770,3290,4320,4610,4170,4370,4950,5940,6670,7470,7810,7660,7600,6710,7600,9430,12300,13800,13300,13700,12200,11800,13100,15300,17400,18800,17500,14700,15300,13600,13900,16900,21900,25400,27800,26700,32500,31300,28200,33700,38400,40000,43000,44600,38600,40100,42800,42900,42100
Nicaragua,126,131,141,151,170,274,285,299,307,320,323,333,344,414,559,567,638,750,696,482,670,729,713,773,852,719,755,985,658,248,242,349,411,394,847,890,909,909,944,973,1010,1030,1000,1010,1080,1160,1230,1330,1500,1440,1500,1660,1760,1810,1930,2050,2110,2160,2020,1910
Niger,133,139,148,159,153,172,174,161,150,143,144,150,156,193,204,202,200,235,314,362,419,352,318,276,217,208,267,305,302,280,438,396,395,249,211,243,245,225,251,232,197,208,228,268,286,322,336,390,479,464,477,513,530,553,565,484,498,518,572,554
Nigeria,93,97,104,108,113,117,124,99.4,97.2,121,224,160,209,252,403,438,557,536,527,662,874,2180,1840,1220,902,883,639,598,549,474,568,503,477,270,321,408,462,480,469,498,568,590,742,795,1010,1270,1660,1880,2240,1890,2280,2490,2720,2960,3100,2690,2180,1970,2030,2230
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2480,1230,1350,1790,2360,2340,1960,1870,1910,1850,1820,1960,2410,2760,3040,3330,4040,4790,4540,4540,5060,4700,5210,5470,4840,5130,5430,6090,6020
Norway,1440,1560,1670,1780,1940,2160,2320,2510,2660,2880,3310,3740,4410,5690,6810,8200,8930,10300,11500,13000,15800,15500,15200,14900,15000,15800,18900,22500,24200,24300,28200,28600,30500,28000,29300,34900,37300,36600,34800,36400,38100,38500,43100,50100,57600,66800,74100,85100,96900,80000,87700,101000,102000,103000,97000,74400,70500,75500,81700,75400
Oman,,,,,,101,106,162,278,342,354,402,473,599,1950,2380,2760,2800,2650,3420,5180,5950,5860,5830,6160,6680,4690,4820,5000,5380,6450,5990,6280,6030,6010,6260,6830,7040,6220,6920,8600,8480,8630,9070,10100,12400,14400,15800,22100,16800,18700,20900,21900,20900,20000,16000,14600,15100,16500,15300
Pakistan,83.3,89.4,91.3,95.7,105,116,126,139,146,153,172,179,153,101,137,168,191,213,243,261,303,348,368,333,349,338,335,339,379,384,372,412,429,442,434,490,497,476,461,454,576,544,534,599,688,749,837,908,991,958,987,1160,1200,1210,1250,1360,1370,1460,1480,1280
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7660,8090,8310,7770,8310,9630,9850,10400,10600,10300,10400,11100,12000,12600,13700,15900,16600,16100,15700,14900
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1330,1320,1390,1470,1500,1480,1340,1160,1260,1420,1540,1570,1660,2040,2190,2560,2880,3070,3320,3350,3270,3530,3620,3560,
Panama,474,513,542,583,608,648,686,742,776,827,889,975,1040,1160,1290,1400,1440,1490,1720,1920,2330,2580,2780,2790,2850,2950,3000,2950,2490,2450,2600,2800,3120,3340,3490,3490,3530,3740,3970,4080,4060,4050,4130,4270,4590,4920,5350,6170,7150,7580,8080,9360,10700,11900,12800,13600,14300,15200,15600,15700
Papua New Guinea,102,107,112,116,125,138,154,170,183,203,232,252,294,435,479,432,470,497,575,659,713,681,629,662,642,594,633,732,831,787,698,801,905,1010,1090,894,970,906,679,608,602,516,492,568,618,749,1260,1400,1670,1630,1950,2410,2790,2730,2920,2680,2510,2700,2800,2830
Paraguay,,,,,,204,209,215,220,231,240,262,296,374,490,541,594,713,850,1100,1400,1720,1610,1640,1260,893,984,1020,1060,1160,1380,1610,1610,1590,1690,1900,2000,1990,1810,1690,1660,1570,1300,1370,1680,1840,2270,2980,4040,3620,4360,5320,5180,5930,6100,5410,5320,5680,5810,5410
Peru,253,278,306,326,383,441,508,501,450,490,552,599,646,752,923,1090,1010,899,749,933,1030,1200,1180,919,911,837,754,1000,730,1040,1200,1520,1570,1490,1880,2190,2230,2310,2160,1920,1960,1940,2020,2150,2420,2730,3150,3610,4220,4200,5080,5870,6530,6760,6670,6230,6200,6710,6940,6980
Philippines,254,267,157,168,176,187,200,207,225,242,187,201,211,258,343,361,403,450,506,597,685,732,742,646,595,566,536,580,644,706,716,716,815,816,940,1060,1160,1130,967,1090,1070,991,1040,1050,1120,1240,1450,1740,1990,1910,2220,2450,2690,2870,2960,3000,3070,3120,3250,3490
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,2240,2460,2500,2870,3690,4150,4120,4520,4400,4500,4990,5210,5700,6680,8020,9040,11300,14000,11500,12600,13900,13100,13700,14300,12600,12400,13900,15500,15700
Portugal,360,383,408,433,469,521,575,647,719,796,934,1060,1300,1750,2000,2130,2170,2270,2460,2760,3370,3250,3080,2740,2520,2710,3860,4800,5620,6060,7880,8960,10800,9530,9980,11800,12200,11600,12200,12500,11500,11700,12900,15800,18000,18800,19800,22800,24800,23100,22500,23200,20600,21600,22100,19200,20000,21500,23600,23300
Qatar,,,,,,,,,,,2760,3250,3910,5580,15600,15300,18900,19800,21100,27500,35000,34900,27400,20900,19600,16600,12700,12900,13600,14100,15500,14100,15400,14300,14500,15800,17300,21100,18600,21700,30000,28500,30200,34500,42100,51500,59500,65400,80200,59100,67400,82400,85100,85100,83900,63000,57200,59100,65900,62100
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1770,1820,1680,1260,1100,1160,1320,1650,1630,1580,1850,1600,1660,1830,2120,2680,3490,4620,5760,8360,10400,8550,8210,9100,8510,9550,10000,8970,9550,10800,12400,12900
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3780,3430,3490,3490,3100,2930,2660,2670,2640,2740,1830,1330,1770,2100,2380,2980,4100,5320,6920,9100,11600,8560,10700,14300,15400,16000,14100,9310,8700,10700,11400,11600
Rwanda,40.5,40.7,40.9,41.2,41.1,46,37.5,46.6,48.8,51.8,58.5,57.6,61.8,70.8,72.9,131,142,160,188,223,243,264,256,260,269,279,302,318,338,330,350,270,303,315,127,222,230,288,286,288,261,239,233,250,274,332,367,439,544,580,610,669,726,723,744,752,745,772,783,820
Samoa,,,,,,,,,,,,,,,,,,,,,,,770,706,686,597,629,694,824,759,773,766,799,797,1310,1320,1460,1660,1560,1490,1540,1560,1630,1910,2350,2590,2800,3130,3380,3170,3570,3930,4020,4040,3940,4070,4110,4260,4190,4320
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40900,36600,38700,41500,51300,59600,60900,64200,72700,78600,66700,60200,57300,50000,51600,50800,42700,43800,45400,49000,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,578,679,745,867,883,897,1100,1070,1090,1250,1330,1560,1770,1580,1700,1810,1950,1950
Saudi Arabia,,,,,,,,,777,801,921,1180,1510,2230,6440,6300,8200,9040,9280,12200,17000,17900,13900,11000,9630,7920,6300,5930,5860,6090,7250,7880,7930,7490,7420,7690,8340,8550,7420,8010,9170,8680,8700,9610,11200,13800,15400,16500,20100,16100,19300,23700,25200,24800,24500,20600,19900,20800,23300,23100
Senegal,313,321,321,322,332,329,329,320,326,301,305,305,358,400,438,574,567,567,618,751,794,701,666,577,546,579,795,928,891,852,962,917,951,874,580,711,720,648,681,681,605,615,657,824,941,994,1040,1220,1410,1320,1280,1370,1330,1380,1400,1220,1270,1360,1470,1450
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210,2860,3380,2570,2570,915,1730,2280,3010,3500,3720,4380,5850,7100,6170,5740,6810,6020,6760,6600,5590,5770,6290,7250,7410
Seychelles,288,270,287,308,332,328,338,333,314,314,344,402,547,649,745,806,814,1040,1380,2030,2330,2420,2300,2280,2340,2590,3170,3640,4130,4410,5300,5310,6130,6560,6560,6750,6580,7280,7720,7750,7580,7660,8330,8520,10200,11100,12000,12200,11100,9710,10800,12200,12000,14800,14700,14700,15100,15900,16400,17400
Sierra Leone,139,139,143,144,151,143,147,134,125,152,158,150,163,197,218,224,192,218,296,335,325,322,366,275,293,225,125,174,254,219,150,179,156,178,212,202,218,196,153,150,139,229,252,266,267,292,323,360,408,391,402,448,566,717,715,588,501,499,534,528
Singapore,428,449,472,511,486,517,567,626,709,813,926,1070,1260,1690,2340,2490,2760,2850,3190,3900,4930,5600,6080,6630,7230,7000,6800,7540,8910,10400,11900,14500,16100,18300,21600,24900,26200,26400,21800,21800,23900,21700,22200,23700,27600,30000,33800,39400,40000,38900,47200,53900,55500,57000,57600,55600,56800,60900,66200,65200
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,2690,2920,3100,3770,4820,5200,5150,5540,5640,5410,5720,6530,8710,10700,11700,13200,16100,18700,16500,16800,18400,17500,18300,18700,16300,16500,17600,19400,19300
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9110,6630,6560,6660,7560,10700,10800,10500,11200,11500,10200,10500,11800,14800,17200,18100,19700,23800,27500,24700,23500,25100,22600,23500,24200,20900,21700,23500,26100,25900
Solomon Islands,,,,,,,,173,187,185,,301,235,308,454,386,414,448,516,679,768,786,756,691,669,591,513,524,580,552,667,687,790,857,1120,1280,1370,1390,1170,1230,1040,1000,819,789,867,1010,1120,1260,1390,1430,1600,1940,2140,2250,2270,2170,2230,2330,2440,2370
Somalia,65.5,68.1,70.8,73.6,76.5,79.4,81.9,84.2,86.6,90.5,93.7,95.4,120,144,129,183,189,104,105,100,96.1,107,117,111,119,132,138,147,148,153,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,443,455,473,511,549,585,621,675,711,781,835,897,917,1230,1500,1510,1420,1540,1720,2070,2910,2910,2600,2820,2430,1810,2020,2580,2710,2760,3140,3290,3480,3390,3450,3750,3490,3550,3150,3080,3030,2670,2500,3750,4830,5380,5600,6100,5760,5860,7330,8010,7500,6830,6430,5730,5270,6130,6370,6000
South Korea,158,93.8,106,146,124,109,133,161,198,243,279,301,324,407,563,617,834,1060,1410,1780,1720,1880,1990,2200,2410,2480,2830,3550,4750,5820,6610,7640,8130,8880,10400,12600,13400,12400,8280,10700,12300,11600,13200,14700,16500,19400,21700,24100,21400,19100,23100,25100,25500,27200,29200,28700,29300,31600,33400,31800
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1340,1540,1520,1180,1780,1320,1120,,,,
Spain,396,450,520,609,675,775,890,968,951,1080,1210,1360,1710,2250,2750,3210,3280,3630,4360,5770,6210,5370,5160,4480,4490,4700,6510,8240,9700,10700,13800,14800,16100,13300,13400,15500,16100,14700,15400,15700,14700,15400,17000,21500,24900,26400,28400,32500,35400,32000,30500,31600,28300,29100,29500,25700,26500,28200,30400,29600
Sri Lanka,143,143,139,117,121,153,154,160,151,161,184,186,196,217,265,276,256,288,188,228,268,289,308,329,379,370,390,401,413,408,464,513,547,577,648,714,757,817,851,839,870,833,867,982,1070,1250,1440,1630,2040,2090,2800,3200,3350,3610,3820,3840,3890,4080,4080,3850
St. Kitts and Nevis,242,244,246,254,269,276,299,353,315,348,363,441,518,546,711,754,682,1010,1130,1350,1580,1880,2010,2050,2340,2650,3150,3600,4250,4770,5400,5460,5950,6410,7090,7450,7860,8740,8870,9320,9560,10300,10700,10300,10900,11700,13600,14400,15600,15400,15500,16500,16000,16700,18100,18000,18800,19200,19300,19900
St. Lucia,,,,,,,,,,,,,,,,,,,,,1450,1630,1520,1610,2020,2250,2650,2870,3220,3580,4200,4380,4760,4780,4920,5190,5300,5340,5730,5950,5950,5640,5650,6150,6590,6950,7670,7970,8460,8140,8540,8980,9090,9380,9840,10100,10400,11000,11400,11600
St. Vincent and the Grenadines,161,170,175,163,173,176,185,180,173,186,204,219,298,322,348,347,339,505,616,713,819,1010,1110,1190,1300,1390,1530,1660,1880,2010,2240,2360,2570,2650,2680,2930,3070,3220,3470,3630,3680,3990,4270,4450,4810,5070,5630,6310,6420,6230,6290,6240,6390,6640,6680,6920,7080,7210,7360,7460
Sudan,126,133,141,139,139,141,141,148,150,160,177,187,197,237,295,348,420,507,432,492,392,509,454,391,446,553,683,850,632,612,484,432,261,320,450,473,301,379,355,328,366,383,418,485,573,689,905,1130,1300,1160,1400,1440,1460,1560,1710,1910,1300,1110,624,442
Suriname,346,364,382,404,420,469,563,635,677,714,747,815,848,930,1130,1300,1410,1790,2050,2180,2210,2470,2540,2440,2370,2370,2380,2570,2990,1370,959,1080,962,1000,1390,1570,1920,2040,2420,1900,2010,1750,2270,2610,3010,3590,5200,5740,6830,7410,8260,8260,9200,9400,9470,8560,5540,5640,6020,6360
Sweden,2110,2290,2470,2660,2940,3210,3450,3720,3930,4230,4740,5130,6030,7300,8090,10100,10900,11400,12600,14900,17100,15600,13700,12600,13100,13700,18000,21800,24500,25700,30600,31800,32800,24400,26100,30300,33000,30300,30600,30900,29600,27200,29900,37300,42800,43400,46600,53700,56200,46900,52900,60800,58000,61100,60000,51500,52000,53800,54600,51600
Switzerland,1790,1970,2130,2290,2500,2620,2780,2960,3120,3340,3930,4690,5710,7630,8740,10000,10600,11300,15800,17700,18800,17200,17500,17300,16500,16700,23800,29600,31700,30400,38400,38400,39500,38100,41800,48700,46700,40400,41500,40600,37900,38500,41400,48100,53300,55000,57600,63600,72500,69900,74600,88400,83500,85100,86600,82100,80200,80400,82800,82000
Syria,188,200,228,238,258,274,242,275,295,366,337,394,450,460,708,906,979,955,1110,1150,1460,1680,1700,1770,1700,1540,1210,1000,903,816,989,1010,1000,1010,726,794,935,956,974,991,1180,1260,1260,1250,1410,1570,1750,2030,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,469,347,294,268,214,178,155,219,178,138,171,190,238,312,341,409,527,716,676,750,847,969,1050,1100,929,803,806,827,871
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,186,174,196,176,157,161,182,220,253,396,400,411,407,412,431,459,493,485,553,687,695,743,781,868,970,1030,948,966,1000,1060,1120
Thailand,101,107,114,118,126,138,161,167,175,187,192,194,209,270,332,352,392,445,529,590,683,721,743,798,818,748,813,937,1120,1300,1510,1720,1930,2210,2490,2850,3040,2470,1850,2030,2010,1890,2100,2360,2660,2890,3370,3970,4380,4210,5080,5490,5860,6170,5950,5840,5990,6590,7300,7810
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,530,509,518,453,465,446,524,614,677,806,948,1010,1210,1230,1330,1350,1290,1230,1560
Togo,76.6,79.1,82,87.8,99.9,110,122,125,124,132,120,131,149,176,238,256,251,309,320,337,418,342,282,253,229,234,315,360,385,368,431,415,429,306,238,310,337,334,343,330,302,293,327,396,413,406,408,449,544,538,534,587,572,621,641,571,597,626,680,679
Tonga,,,,,,,,,,,,,,,,368,337,378,455,484,573,666,663,649,685,640,725,866,1130,1120,1190,1390,1440,1450,2050,2180,2310,2230,1970,2040,2090,1840,1850,2030,2300,2590,2870,2910,3330,3010,3530,4000,4580,4430,4350,4340,4160,4510,4740,4900
Trinidad and Tobago,632,676,704,760,789,808,787,824,815,831,869,938,1120,1330,2050,2420,2440,3020,3380,4310,5750,6350,7270,6820,6720,6300,4050,4020,3730,3560,4150,4320,4400,3750,3960,4250,4580,4550,4790,5390,6440,6940,7050,8810,10300,12300,14100,16500,21200,14500,16700,19000,19200,20100,20300,18300,16200,16200,17100,17400
